"Name","Type","ResourceGroup","Status","Action","AllLogsSupported","PostStatus","Error"
"AVD-Pooled","hostpools","rg-avd-pooled","AlreadyEnabled","conflict","False","Enabled (other diagnostic setting)","No changes made - logs already being sent to this workspace"
"Contoso-AppSharePool","hostpools","rg-avd-monitoring","AlreadyEnabled","without-allLogs","False","Enabled (not allLogs)",""
"Personal-Pool","hostpools","rg-avd-monitoring","AlreadyEnabled","without-allLogs","False","Enabled (not allLogs)",""
"Contoso-EntraID-HostPool","hostpools","rg-avd-entra","AlreadyEnabled","without-allLogs","False","Enabled (not allLogs)",""
"SharedDesktops-Pool","hostpools","rg-avd-shared","AlreadyEnabled","without-allLogs","False","Enabled (not allLogs)",""
"DevTest-Pool","hostpools","rg-avd-devtest","Success","create","False","Enabled (not allLogs)",""
"Contoso-AppSharePool-DAG","applicationgroups","rg-avd-monitoring","Success","create","False","Enabled (not allLogs)",""
"Contoso-Default-Apps","applicationgroups","rg-avd-monitoring","Success","create","False","Enabled (not allLogs)",""
"Personal-Pool-DAG","applicationgroups","rg-avd-monitoring","Success","create","False","Enabled (not allLogs)",""
"Contoso-EntraID-HostPool-DAG","applicationgroups","rg-avd-entra","Success","create","False","Enabled (not allLogs)",""
"SharedDesktops-Pool-DAG","applicationgroups","rg-avd-shared","AlreadyEnabled","without-allLogs","False","Enabled (not allLogs)",""
"SharedDesktops-Apps","applicationgroups","rg-avd-shared","Success","create","False","Enabled (not allLogs)",""
"DevTest-Pool-DAG","applicationgroups","rg-avd-devtest","Success","create","False","Enabled (not allLogs)",""
"PooledWorkstations","workspaces","rg-avd-pooled","AlreadyEnabled","without-allLogs","False","Enabled (not allLogs)",""
"PersonalDesktops","workspaces","rg-avd-personal","AlreadyEnabled","without-allLogs","False","Enabled (not allLogs)",""
"AppDelivery-group","workspaces","rg-avd-monitoring","Success","create","False","Enabled (not allLogs)",""
"EntraAD","workspaces","rg-avd-entra","Success","create","False","Enabled (not allLogs)",""
"SharedDesktops-App","workspaces","rg-avd-shared","AlreadyEnabled","without-allLogs","False","Enabled (not allLogs)",""
"SharedDesktops-Workspace","workspaces","rg-avd-shared","Success","create","False","Enabled (not allLogs)",""
"Az-workspaces","workspaces","rg-avd-devtest","Success","create","False","Enabled (not allLogs)",""
